X,Y,Fmol_err,Surftot_err,NewX,NewY,Radius
0,0,,,-28,-28,6.876117022262482
1,0,,,-27,-28,6.754445378819813
2,0,,,-26,-28,6.635087552269895
3,0,,,-25,-28,6.5181706525932235
4,0,,,-24,-28,6.403828375712635
5,0,,,-23,-28,6.292201081819554
6,0,,,-22,-28,6.183435810432103
7,0,,,-21,-28,6.077686218342564
8,0,,,-20,-28,5.975112425280571
9,0,,,-19,-28,5.875880751008097
10,0,,,-18,-28,5.780163326810652
11,0,,,-17,-28,5.6881375641206295
12,0,,,-16,-28,5.599985463492532
13,0,,,-15,-28,5.515892748550251
14,0,,,-14,-28,5.436047812051042
15,0,,,-13,-28,5.360640465048433
16,0,,,-12,-28,5.289860485432346
17,0,,,-11,-28,5.223895968946595
18,0,,,-10,-28,5.162931494086331
19,0,,,-9,-28,5.107146121866364
20,0,,,-8,-28,5.056711261954242
21,0,,,-7,-28,5.01178844751743
22,0,,,-6,-28,4.972527071598262
23,0,,,-5,-28,4.9390621470173945
24,0,,,-4,-28,4.911512158758916
25,0,,,-3,-28,4.889977081580991
26,0,,,-2,-28,4.874536635450811
27,0,,,-1,-28,4.865248846824896
28,0,,,0,-28,4.862148974674051
29,0,,,1,-28,4.865248846824896
30,0,,,2,-28,4.874536635450811
31,0,,,3,-28,4.889977081580991
32,0,,,4,-28,4.911512158758916
33,0,,,5,-28,4.9390621470173945
34,0,,,6,-28,4.972527071598262
35,0,,,7,-28,5.01178844751743
36,0,,,8,-28,5.056711261954242
37,0,,,9,-28,5.107146121866364
38,0,,,10,-28,5.162931494086331
39,0,,,11,-28,5.223895968946595
40,0,,,12,-28,5.289860485432346
41,0,,,13,-28,5.360640465048433
42,0,,,14,-28,5.436047812051042
43,0,,,15,-28,5.515892748550251
44,0,,,16,-28,5.599985463492532
45,0,,,17,-28,5.6881375641206295
46,0,,,18,-28,5.780163326810652
47,0,,,19,-28,5.875880751008097
48,0,,,20,-28,5.975112425280571
49,0,,,21,-28,6.077686218342564
50,0,,,22,-28,6.183435810432103
51,0,,,23,-28,6.292201081819554
52,0,,,24,-28,6.403828375712635
53,0,,,25,-28,6.5181706525932235
54,0,,,26,-28,6.635087552269895
55,0,,,27,-28,6.754445378819813
0,1,,,-28,-27,6.754445378819813
1,1,,,-27,-27,6.6305414143245365
2,1,,,-26,-27,6.508911882788044
3,1,,,-25,-27,6.389686668995597
4,1,,,-24,-27,6.273002864433812
5,1,,,-23,-27,6.159004913593076
6,1,,,-22,-27,6.0478446981835265
7,1,,,-21,-27,5.939681543672491
8,1,,,-20,-27,5.834682130703843
9,1,,,-19,-27,5.733020292278753
10,1,,,-18,-27,5.634876676220985
11,1,,,-17,-27,5.540438251616261
12,1,,,-16,-27,5.449897637840563
13,1,,,-15,-27,5.363452235745344
14,1,,,-14,-27,5.2813031428348625
15,1,,,-13,-27,5.203653838134043
16,1,,,-12,-27,5.130708628147872
17,1,,,-11,-27,5.0626708530171065
18,1,,,-10,-27,4.999740861708834
19,1,,,-9,-27,4.942113776685754
20,1,,,-8,-27,4.889977081580991
21,1,,,-7,-27,4.843508079303849
22,1,,,-6,-27,4.802871281784476
23,1,,,-5,-27,4.768215805069288
24,1,,,-4,-27,4.739672853399182
25,1,,,-3,-27,4.717353381929302
26,1,,,-2,-27,4.70134602874162
27,1,,,-1,-27,4.691715401976494
28,1,,,0,-27,4.688500797007121
29,1,,,1,-27,4.691715401976494
30,1,,,2,-27,4.70134602874162
31,1,,,3,-27,4.717353381929302
32,1,,,4,-27,4.739672853399182
33,1,,,5,-27,4.768215805069288
34,1,,,6,-27,4.802871281784476
35,1,,,7,-27,4.843508079303849
36,1,,,8,-27,4.889977081580991
37,1,,,9,-27,4.942113776685754
38,1,,,10,-27,4.999740861708834
39,1,,,11,-27,5.0626708530171065
40,1,,,12,-27,5.130708628147872
41,1,,,13,-27,5.203653838134043
42,1,,,14,-27,5.2813031428348625
43,1,,,15,-27,5.363452235745344
44,1,,,16,-27,5.449897637840563
45,1,,,17,-27,5.540438251616261
46,1,,,18,-27,5.634876676220985
47,1,,,19,-27,5.733020292278753
48,1,,,20,-27,5.834682130703843
49,1,,,21,-27,5.939681543672491
50,1,,,22,-27,6.0478446981835265
51,1,,,23,-27,6.159004913593076
52,1,,,24,-27,6.273002864433812
53,1,,,25,-27,6.389686668995597
54,1,,,26,-27,6.508911882788044
55,1,,,27,-27,6.6305414143245365
0,2,,,-28,-26,6.635087552269895
1,2,,,-27,-26,6.508911882788044
2,2,,,-26,-26,6.384965806386591
3,2,,,-25,-26,6.26338168873386
4,2,,,-24,-26,6.144299747572654
5,2,,,-23,-26,6.02786827796446
6,2,,,-22,-26,5.914243818458381
7,2,,,-21,-26,5.803591240867174
8,2,,,-20,-26,5.696083743870109
9,2,,,-19,-26,5.591902728276532
10,2,,,-18,-26,5.491237529650837
11,2,,,-17,-26,5.394284982349303
12,2,,,-16,-26,5.301248788141027
13,2,,,-15,-26,5.212338662821929
14,2,,,-14,-26,5.127769235968401
15,2,,,-13,-26,5.0477586826188245
16,2,,,-12,-26,4.972527071598262
17,2,,,-11,-26,4.9022944237178905
18,2,,,-10,-26,4.837278484340917
19,2,,,-9,-26,4.777692228736976
20,2,,,-8,-26,4.723741134864814
21,2,,,-7,-26,4.675620275974967
22,2,,,-6,-26,4.633511303559821
23,2,,,-5,-26,4.597579408181997
24,2,,,-4,-26,4.567970359807046
25,2,,,-3,-26,4.544807738598674
26,2,,,-2,-26,4.528190470021239
27,2,,,-1,-26,4.51819077330407
28,2,,,0,-26,4.514852619340191
29,2,,,1,-26,4.51819077330407
30,2,,,2,-26,4.528190470021239
31,2,,,3,-26,4.544807738598674
32,2,,,4,-26,4.567970359807046
33,2,,,5,-26,4.597579408181997
34,2,,,6,-26,4.633511303559821
35,2,,,7,-26,4.675620275974967
36,2,,,8,-26,4.723741134864814
37,2,,,9,-26,4.777692228736976
38,2,,,10,-26,4.837278484340917
39,2,,,11,-26,4.9022944237178905
40,2,,,12,-26,4.972527071598262
41,2,,,13,-26,5.0477586826188245
42,2,,,14,-26,5.127769235968401
43,2,,,15,-26,5.212338662821929
44,2,,,16,-26,5.301248788141027
45,2,,,17,-26,5.394284982349303
46,2,,,18,-26,5.491237529650837
47,2,,,19,-26,5.591902728276532
48,2,,,20,-26,5.696083743870109
49,2,,,21,-26,5.803591240867174
50,2,,,22,-26,5.914243818458381
51,2,,,23,-26,6.02786827796446
52,2,,,24,-26,6.144299747572654
53,2,,,25,-26,6.26338168873386
54,2,,,26,-26,6.384965806386591
55,2,,,27,-26,6.508911882788044
0,3,,,-28,-25,6.5181706525932235
1,3,,,-27,-25,6.389686668995597
2,3,,,-26,-25,6.26338168873386
3,3,,,-25,-25,6.139390198448645
4,3,,,-24,-25,6.0178552008221375
5,3,,,-23,-25,5.898928530379979
6,3,,,-22,-25,5.782771115495912
7,3,,,-21,-25,5.66955316767652
8,3,,,-20,-25,5.559454276025838
9,3,,,-19,-25,5.452663381554668
10,3,,,-18,-25,5.349378602892722
11,3,,,-17,-25,5.249806882242421
12,3,,,-16,-25,5.154163418422758
13,3,,,-15,-25,5.0626708530171065
14,3,,,-14,-25,4.9755581764646895
15,3,,,-13,-25,4.893059323980692
16,3,,,-12,-25,4.815411437023657
17,3,,,-11,-25,4.7428527751614
18,3,,,-10,-25,4.675620275974967
19,3,,,-9,-25,4.613946777171835
20,3,,,-8,-25,4.558057935048059
21,3,,,-7,-25,4.508168896031835
22,3,,,-6,-25,4.464480801869048
23,3,,,-5,-25,4.427177232117525
